VendorId, ServiceId, ProductId, CircleCode, MSISDN, Provisioned-ServiceId, ResultCode, Result Description,Time
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:02.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:02.7
1,505600900,6200,AS,9.17E+11,505600900,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:04.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.0
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.1
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:05.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.4
1,505624,7560,AS,9.17E+11,505624,124,Below minimum balance,30:05.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:05.9
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:06.0
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:06.2
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:06.2
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:06.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:06.4
1,505626,7552,AS,9.17E+11,505626,0,Response Success,30:06.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:06.7
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,50560023,7521,AS,9.17E+11,50560023,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,60160023,7515,NESA,9.17E+11,60160023,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,601626,7574,NESA,9.17E+11,601626,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:07.3
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.1
1,2051260,7565,WB,9.17E+11,2051260,124,Below minimum balance,30:09.1
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.1
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.4
1,601624,7587,NESA,9.17E+11,601624,124,Below minimum balance,30:09.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.4
1,5056169,7591,AS,9.17E+11,5056169,124,Below minimum balance,30:09.4
1,10020023,11006,PB,9.17E+11,10020023,0,Response Success,30:09.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.4
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.7
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:09.9
1,601626,7574,NESA,9.17E+11,601626,124,Below minimum balance,30:12.8
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:12.9
1,405224,7569,BIH,9.17E+11,405224,124,Below minimum balance,30:13.7
1,601626,7574,NESA,9.17E+11,601626,124,Below minimum balance,30:13.7
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:13.7
1,505626,7552,AS,9.17E+11,505626,124,Below minimum balance,30:13.7
1,40520023,7520,BIH,9.17E+11,40520023,124,Below minimum balance,30:13.7
